occupation,gender,category,income,area_type,disability,scheme_name,official_link,req,min_age,max_age,mode_of_application,Description,Required_Documents
Employee,Female,OBC,37677,Rural,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Employee,Other,OBC,9231,Rural,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Employee,Other,SC,45851,Urban,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Self-employed,Female,ST,27995,Urban,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Other,ST,19019,Urban,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Student,Male,General,22694,Urban,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Self-employed,Other,SC,11511,Urban,Yes,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Student,Male,OBC,19211,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Other,SC,43788,Urban,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Student,Male,OBC,40505,Urban,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Self-employed,Female,ST,13534,Urban,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Unemployed,Other,General,25672,Urban,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Farmer,Male,General,32052,Rural,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Farmer,Female,OBC,32625,Urban,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Self-employed,Other,General,21695,Urban,Yes,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Farmer,Female,General,9216,Urban,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Homemaker,Male,ST,5554,Urban,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Employee,Female,SC,12121,Urban,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Student,Other,SC,14629,Urban,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Homemaker,Other,ST,38021,Rural,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Self-employed,Male,SC,20395,Urban,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Homemaker,Male,General,14166,Rural,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Self-employed,Other,SC,27360,Urban,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Homemaker,Male,SC,38946,Rural,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Homemaker,Other,General,5500,Rural,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Homemaker,Male,OBC,13939,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Farmer,Female,SC,27099,Urban,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Farmer,Male,ST,14836,Urban,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Homemaker,Female,OBC,17643,Urban,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Unemployed,Female,General,40158,Rural,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Employee,Female,SC,30984,Urban,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Student,Male,General,12433,Urban,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Homemaker,Other,OBC,41225,Urban,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Student,Male,ST,36007,Urban,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Student,Male,OBC,7449,Rural,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Self-employed,Male,SC,36007,Urban,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Unemployed,Male,General,41082,Urban,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Student,Other,OBC,21679,Urban,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Farmer,Female,General,38690,Urban,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Self-employed,Female,SC,14072,Rural,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Unemployed,Female,General,32005,Rural,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Student,Female,ST,17212,Urban,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Employee,Female,ST,11033,Rural,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Unemployed,Female,OBC,37381,Rural,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Other,General,9530,Urban,No,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Employee,Male,OBC,16180,Urban,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Student,Female,ST,27151,Rural,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Employee,Other,ST,10948,Rural,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Unemployed,Female,SC,14066,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Female,SC,33230,Urban,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Other,OBC,12919,Rural,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Student,Other,ST,34875,Rural,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Farmer,Other,SC,18988,Rural,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Homemaker,Other,ST,26245,Rural,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
